shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,LINK_ID,osmid,shstRefId
940001,44.966951,-93.251093,100033,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.967192,-93.251447,100034,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.967415,-93.251622,100035,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.968085,-93.252168,100036,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.968638,-93.252876,100037,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.969007,-93.253649,100038,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.969389,-93.254562,100039,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.969544,-93.254927,100040,411150,461209912,96c441afd075268537826d88224dae69
940001,44.96996,-93.255906,100041,411081,461209912,18b93a3fd45ce0475cf3845930e27859
940001,44.970544,-93.257265,100042,411130,636434043,0f6c34f91b436d05bf97a9677e57e52e
940001,44.971077,-93.258508,100043,411130,636434043,0f6c34f91b436d05bf97a9677e57e52e
940001,44.971077,-93.258508,110001,411130,636434043,0f6c34f91b436d05bf97a9677e57e52e
940001,44.971124,-93.258618,110002,411130,636434043,0f6c34f91b436d05bf97a9677e57e52e
940001,44.971641,-93.259882,110003,401678,636434043,fe7ebce514ab2e93ea482c7012d56446
940001,44.971641,-93.259882,120001,401678,636434043,fe7ebce514ab2e93ea482c7012d56446
940001,44.971686,-93.259992,120002,401678,636434043,fe7ebce514ab2e93ea482c7012d56446
940001,44.972291,-93.261311,120003,399048,636535873,dc9a9115410789e41f529c104ee811cf
940001,44.972816,-93.262564,120004,399039,"636334385,637515794,492433590,461209911,492433591",4f64265f302b6e3e8ab35c80bd55ce0c
940001,44.972816,-93.262564,130001,399039,"636334385,637515794,492433590,461209911,492433591",4f64265f302b6e3e8ab35c80bd55ce0c
940001,44.972864,-93.262677,130002,399039,"636334385,637515794,492433590,461209911,492433591",4f64265f302b6e3e8ab35c80bd55ce0c
940001,44.973437,-93.264046,130003,383990,636434042,0bf015653e0e1a910c94a85d59213018
940001,44.97401,-93.265411,130004,410889,636434042,88425bf3d3087ebadf1e381e443e0170
940001,44.974149,-93.265743,130005,402047,636535778,e48a51b8ca81f34b90a2b5de514eb29c
940001,44.974149,-93.265743,140001,402047,636535778,e48a51b8ca81f34b90a2b5de514eb29c
940001,44.974583,-93.266784,140002,402047,636535778,e48a51b8ca81f34b90a2b5de514eb29c
940001,44.974893,-93.267539,140003,402066,124391473,fa5875c3964bdf458d2dad70411fd5bb
940001,44.974893,-93.267539,150001,402066,124391473,fa5875c3964bdf458d2dad70411fd5bb
940001,44.975158,-93.268184,150002,384197,124391473,3ed365b6b7d5379ff1843b3b09557746
940001,44.97547700000001,-93.268932,150003,384197,124391473,3ed365b6b7d5379ff1843b3b09557746
940001,44.97547700000001,-93.268932,160001,384197,124391473,3ed365b6b7d5379ff1843b3b09557746
940001,44.975724,-93.269513,160002,384197,124391473,3ed365b6b7d5379ff1843b3b09557746
940001,44.976297,-93.270883,160003,402679,124391473,4ae927a58445adde9a3b8eb07d3b0376
940001,44.97682,-93.272133,160004,402671,"22598298,636154174",c4be7287e5c2dafc3762db46a17577b3
940001,44.97682,-93.272133,170001,402671,"22598298,636154174",c4be7287e5c2dafc3762db46a17577b3
940001,44.976866,-93.272242,170002,402671,"22598298,636154174",c4be7287e5c2dafc3762db46a17577b3
