stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,N,OSMID
53305,,Marquette Ave & 10th St - Stop Group D,Near side S,44.973523,-93.27328299999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53305,0,1,driveNode4944,33307501
53306,,2nd Ave S & 12th St - Stop Group E,Far side N,44.971247999999996,-93.273125,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53306,0,1,driveNode9246,33358310
53307,,2nd Ave S & 10th St - Stop Group E,Far side N,44.973203000000005,-93.27153,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53307,0,1,driveNode132630,249603458
53308,,2nd Ave S & 8th St - Stop Group E,Far side N,44.975155,-93.269924,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53308,0,1,driveNode12485,33387820
53309,,2nd Ave S & 6th St - Stop Group E,Far side N,44.977088,-93.268286,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53309,0,1,driveNode12426,33386877
53310,,2nd Ave S & 4th St - Stop Group E,Far side N,44.979003999999996,-93.266675,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53310,0,1,driveNode10416,33369108
53311,,2nd Ave S & 11th St - Stop Group F,Near side N,44.971738,-93.272702,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53311,0,1,driveNode10419,33369120
53312,,2nd Ave S & 9th St - Stop Group F,Near side N,44.973703,-93.271135,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53312,0,1,driveNode5170,33308998
53313,,2nd Ave S & 7th St - Stop Group F,Near side N,44.975619,-93.26951600000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53313,0,1,driveNode4946,33307507
53314,,2nd Ave S & 5th St - Stop Group F,Near side N,44.977540999999995,-93.267887,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53314,0,1,driveNode10398,33369028
53315,,2nd Ave S & 11th St - Stop Group G,Far side N,44.972235,-93.27230300000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53315,0,1,driveNode10419,33369120
53316,,2nd Ave S & 9th St - Stop Group G,Far side N,44.974198,-93.27073100000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53316,0,1,driveNode5170,33308998
