stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,model_node_id,osm_node_id,node_ssid,parent_station
10503,,Rice St & Maryland Ave,Near side N,44.977293,-93.105848,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10503,0,1.0,49783,187873496,e19009e992d3a7f506a7df530316ce06,
10505,,Rice St & Orange Ave,Near side N,44.979088,-93.105832,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10505,0,1.0,68478,187916437,3444de0e1a7001c7175ad7a95e628a3b,
10507,,Rice St & Ivy Ave,Near side N,44.980896,-93.10582,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10507,0,1.0,44480,187863636,a9d5355847bd47b27aac94ecdccf9cb3,
10508,,Rice St & Cottage Ave,Near side N,44.982737,-93.105816,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10508,0,1.0,71838,187926851,397fafb29a64c60653046faad3cfda26,
10700,,Dale St & Blair Ave,Near side N,44.961062,-93.12627,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10700,0,1.0,7091,944811105,ecc718dbb331cb145a1799bc83d60290,
10740,,Dale St & Blair Ave,Near side S,44.961243,-93.126413,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10740,0,1.0,7091,944811105,ecc718dbb331cb145a1799bc83d60290,
11834,,5th St & 7th St W,Far side E,44.945477,-93.100697,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11834,0,1.0,19072,772371510,0f9e1490b88cd0f7b9bfa27108dd8d12,
11837,,5th St & Minnesota St,Near side E,44.94675,-93.092095,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11837,0,1.0,41990,187858776,6678b5fc10f2a7f70492c9450d5a9482,
11838,,5th St & Jackson St,Near side E,44.947929,-93.089605,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11838,0,1.0,39430,187854528,3bb845df305e459262af05a3d0b8cb71,
11840,,5th St & Sibley St / Wacouta St,Mid block E,44.949081,-93.087238,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11840,0,1.0,76167,187940544,29567c47faed11eaac7a0ccc16aa3bd3,
11857,,Wacouta St & 7th St E,Far side S,44.950666,-93.088392,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11857,0,1.0,68420,187916225,524fe8d509ac6b26ba06a1612c225c5e,
11858,,6th St & Sibley St,Far side W,44.94937,-93.089348,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11858,0,1.0,68609,187916875,f5ee487b961af6557e7062eda25fdca6,
11859,,6th St & Jackson / Robert,Mid block W,44.948576,-93.091016,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11859,0,1.0,62146,187899923,3281286730ef42e4934f3a579cb4be06,
11861,,6th St & Cedar St,Near side W,44.94719600000001,-93.093916,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11861,0,1.0,70841,187923585,5a751dc1ad9a35231196a2db54111f86,
11862,,6th St & Wabasha St,Far side W,44.946268,-93.095815,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11862,0,1.0,69793,1554214921,01418b32ab26727ea8096aa9626085ab,
11863,,6th St & Washington St,Near side W,44.946139,-93.097264,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11863,0,1.0,7688,498645316,9a501654cd0cc291f4feb95745432676,
11865,,7th St W & Kellogg Blvd,Far side S,44.944439,-93.103149,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11865,0,1.0,25277,2458502303,d05d9658fcfce747e5281bf3b93925e9,
11883,,Kellogg Blvd & Mulberry St,Near side W,44.948204,-93.105281,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11883,0,1.0,71086,557023114,5268935c956f8cc1138c2a207356d7e4,
11884,,Kellogg Blvd & Mulberry St,Near side E,44.948149,-93.10568,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11884,0,1.0,71146,557023231,8f2499c40685dc1bf2a561f008d568ea,
11885,,John Ireland Blvd & Marshall Ave,Across from N,44.948081,-93.107699,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11885,0,1.0,44303,187863248,10bb7a34ee81b5f6639ae1a0e165084a,
11888,,John Ireland Blvd & Marshall Ave,Near side S,44.948286,-93.108036,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11888,0,1.0,133183,695049785,125c9742b5184e0253e93cee44adeda4,
